price;volume;time
3667.55;3129130;2024-01-04 15:12:40
3667.5;3129305;2024-01-04 15:12:41
3667.75;3129305;2024-01-04 15:12:41
3668.65;3130194;2024-01-04 15:12:42
3668.65;3130194;2024-01-04 15:12:42
3667.45;3130486;2024-01-04 15:12:43
3667.45;3130486;2024-01-04 15:12:43
3667.45;3132613;2024-01-04 15:12:44
3668.2;3132613;2024-01-04 15:12:44
3667.45;3133320;2024-01-04 15:12:46
3667;3133496;2024-01-04 15:12:46
3667.45;3133810;2024-01-04 15:12:47
3667.45;3134551;2024-01-04 15:12:48
3667.25;3134871;2024-01-04 15:12:49
3667.2;3134871;2024-01-04 15:12:49
3667.2;3135192;2024-01-04 15:12:50
3667;3135192;2024-01-04 15:12:50
3667.55;3135541;2024-01-04 15:12:51
3666.9;3135541;2024-01-04 15:12:51
3668;3136351;2024-01-04 15:12:53
3666.9;3136397;2024-01-04 15:12:53
3667.4;3136601;2024-01-04 15:12:54
3667.55;3137026;2024-01-04 15:12:55
3667.8;3137381;2024-01-04 15:12:56
3667.6;3137678;2024-01-04 15:12:57
3667.8;3137678;2024-01-04 15:12:57
3667.55;3138527;2024-01-04 15:12:58
3667.55;3138527;2024-01-04 15:12:58
3667.8;3139211;2024-01-04 15:12:59
3667.3;3139718;2024-01-04 15:13:01
3667.9;3139861;2024-01-04 15:13:01
3667.3;3139861;2024-01-04 15:13:01
3667.3;3140140;2024-01-04 15:13:02
3667.95;3140140;2024-01-04 15:13:02
3667.15;3141171;2024-01-04 15:13:04
3667;3141203;2024-01-04 15:13:04
3666.9;3141637;2024-01-04 15:13:05
3667.1;3142348;2024-01-04 15:13:06
3667.1;3142348;2024-01-04 15:13:06
3666.95;3142694;2024-01-04 15:13:07
3666.85;3142694;2024-01-04 15:13:07
3667.1;3143678;2024-01-04 15:13:08
3668;3143678;2024-01-04 15:13:08
3666.9;3144089;2024-01-04 15:13:10
3666.95;3144089;2024-01-04 15:13:10
3666.9;3144449;2024-01-04 15:13:10
3666.95;3144449;2024-01-04 15:13:10
3666.9;3145235;2024-01-04 15:13:12
3666.95;3145235;2024-01-04 15:13:12
3666.9;3146452;2024-01-04 15:13:13
3666.9;3146452;2024-01-04 15:13:13
3666.9;3146708;2024-01-04 15:13:14
3666.9;3146708;2024-01-04 15:13:14
3666.85;3146873;2024-01-04 15:13:15
3666.65;3147152;2024-01-04 15:13:16
3666.7;3147261;2024-01-04 15:13:17
3666.85;3147665;2024-01-04 15:13:18
3666.75;3148250;2024-01-04 15:13:19
3666.8;3148592;2024-01-04 15:13:20
3666.8;3148592;2024-01-04 15:13:20
3666.8;3148836;2024-01-04 15:13:21
3666.55;3148836;2024-01-04 15:13:21
3666.85;3149202;2024-01-04 15:13:22
3666.7;3149219;2024-01-04 15:13:23
3666.7;3149270;2024-01-04 15:13:24
3666.8;3149369;2024-01-04 15:13:25
3666.6;3149369;2024-01-04 15:13:25
3666.7;3149441;2024-01-04 15:13:26
3666.7;3149441;2024-01-04 15:13:26
3667.85;3150083;2024-01-04 15:13:27
3667.9;3150083;2024-01-04 15:13:27
3667.85;3151145;2024-01-04 15:13:29
3666.7;3151151;2024-01-04 15:13:29
3666.8;3151650;2024-01-04 15:13:30
3666.6;3151848;2024-01-04 15:13:31
3666.55;3151848;2024-01-04 15:13:31
3666.8;3152171;2024-01-04 15:13:32
3666.8;3152171;2024-01-04 15:13:32
3666.8;3152589;2024-01-04 15:13:33
3666.55;3152589;2024-01-04 15:13:33
3666.75;3152824;2024-01-04 15:13:34
3666.55;3152824;2024-01-04 15:13:34
3666.6;3152899;2024-01-04 15:13:35
3666.55;3152899;2024-01-04 15:13:35
3666.6;3153057;2024-01-04 15:13:36
3666.55;3153057;2024-01-04 15:13:36
3666.55;3153254;2024-01-04 15:13:37
3666.55;3153254;2024-01-04 15:13:37
3666.55;3153992;2024-01-04 15:13:38
3666.6;3153992;2024-01-04 15:13:38
3666.55;3154273;2024-01-04 15:13:40
3666.55;3154273;2024-01-04 15:13:40
3666.7;3154928;2024-01-04 15:13:41
3666.55;3154932;2024-01-04 15:13:41
3666.55;3155031;2024-01-04 15:13:42
3666.45;3157788;2024-01-04 15:13:43
3666.2;3157788;2024-01-04 15:13:43
3666.75;3158192;2024-01-04 15:13:44
3666.45;3158192;2024-01-04 15:13:44
3665;3160204;2024-01-04 15:13:45
3665.1;3160204;2024-01-04 15:13:45
